elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\net\java\dev\jna\jna\4.1.0\jna-4.1.0.pom
elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\org\antlr\antlr-master\3.5\antlr-master-3.5.pom
elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\org\antlr\antlr-runtime\3.5\antlr-runtime-3.5.pom
elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\org\apache\apache\13\apache-13.pom
elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\org\apache\apache\16\apache-16.pom
elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\org\apache\commons\commons-parent\37\commons-parent-37.pom
elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\org\apache\lucene\lucene-analyzers-common\5.2.1\lucene-analyzers-common-5.2.1.pom
elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\org\apache\lucene\lucene-backward-codecs\5.2.1\lucene-backward-codecs-5.2.1.pom
elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\org\apache\lucene\lucene-core\5.2.1\lucene-core-5.2.1.pom
elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\org\apache\lucene\lucene-expressions\5.2.1\lucene-expressions-5.2.1.pom
elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\org\apache\lucene\lucene-grouping\5.2.1\lucene-grouping-5.2.1.pom
elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\org\apache\lucene\lucene-highlighter\5.2.1\lucene-highlighter-5.2.1.pom
elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\org\apache\lucene\lucene-join\5.2.1\lucene-join-5.2.1.pom
elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\org\apache\lucene\lucene-memory\5.2.1\lucene-memory-5.2.1.pom
elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\org\apache\lucene\lucene-misc\5.2.1\lucene-misc-5.2.1.pom
elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\org\apache\lucene\lucene-parent\5.2.1\lucene-parent-5.2.1.pom
elasticsearch-2.0.0-beta1.jar#LATEST#org.elasticsearch#elasticsearch#C:\New folder\PomResolver\output\libs\libs\org\apache\lucene\lucene-queries\5.2.1\lucene-queries-5.2.1.pom
